id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
4036,-93.4434507405,44.8912061029,000,0,NONE,0,0,0,0,0,0,0.0,1
4037,-91.4183697228,44.8931861007,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4038,-93.2470167272,44.8955890712,000,0,NONE,0,0,0,0,0,0,0.0,1
4039,-89.6401317317,44.8971370967,000,0,NONE,0,0,0,0,0,0,0.0,1
4040,-93.1979577105,44.8982080696,000,0,NONE,0,0,0,0,0,0,0.0,1
4041,-91.7784500538,44.902152015,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4042,-91.3816047082,44.921491075,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4043,-107.092394787,44.9222461296,000,0,NONE,0,0,0,0,0,0,0.0,1
4044,-92.1712604166,44.9333600818,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
4045,-91.094154622,44.9364835766,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4046,-90.2852654161,44.9459909448,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4047,-89.9724576768,44.9440739095,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4048,-90.5978307404,44.9408860799,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
4049,-92.958791734,44.948869109,000,0,NONE,0,0,0,0,0,0,0.0,1
4050,-93.0993987475,44.9506510779,000,0,NONE,0,0,0,0,0,0,0.0,0
4051,-90.8003127393,44.9514701085,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4052,-93.0825417462,44.95256808,000,0,NONE,0,0,0,0,0,0,0.0,0
4053,-93.0913887198,44.9548720981,000,0,NONE,0,0,0,0,0,0,0.0,0
4054,-89.6652867415,44.9588140955,000,0,NONE,0,0,0,0,0,0,0.0,1
4055,-92.5636421671,44.9601016531,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4056,-93.2692107192,44.9645920993,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4057,-93.2524617112,44.9660230907,000,0,NONE,0,0,0,0,0,0,0.0,0
4058,-93.3410487315,44.9702711094,000,0,NONE,0,0,0,0,0,0,0.0,0
4059,-93.4602537446,44.9711440957,000,0,NONE,0,0,0,0,0,0,0.0,1
4060,-93.4003947127,44.9734030749,000,0,NONE,0,0,0,0,0,0,0.0,0
4061,-93.2870937381,44.9750500942,000,0,NONE,0,0,0,0,0,0,0.0,1
4062,-93.2701467426,44.9829520872,000,0,NONE,0,0,0,0,0,0,0.0,0
4063,-117.902326211,44.9967614623,000,0,NONE,0,0,0,0,0,0,0.0,1
4064,-112.853552727,44.9983241,000,0,NONE,0,0,0,0,0,0,0.0,1
4065,-72.089186707,45.0059741092,000,0,NONE,0,0,0,0,0,0,0.0,0
4066,-73.4523357252,45.0087730962,000,0,NONE,0,0,0,0,0,0,0.0,0
4067,-93.1864827398,45.0100870947,000,0,NONE,0,0,0,0,0,0,0.0,0
4068,-93.0894717177,45.0107350949,000,0,NONE,0,0,0,0,0,0,0.0,0
4069,-73.084865736,45.0155140797,000,0,NONE,0,0,0,0,0,0,0.0,0
4070,-68.6986649755,45.0161857447,000,0,NONE,0,0,0,0,0,0,0.0,0
4071,-97.0542762037,45.0317226239,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4072,-93.0893457263,45.0324520757,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4073,-93.0621207245,45.0375640803,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
4074,-107.335917351,45.0499686766,000,0,NONE,0,0,0,0,0,0,0.0,0
